course_number,title,hours,cluster,desc,terms,optional,instructors,prereq
16.110,Flight Vehicle Aerodynamics,3-1-8 units,,"Aerodynamic flow modeling and representation techniques. Potential farfield approximations. Airfoil and lifting-surface theory. Laminar and turbulent boundary layers and their effects on aerodynamic flows. Nearfield and farfield force analysis. Subsonic, transonic, and supersonic compressible flows. Experimental methods and measurement techniques. Aerodynamic models for flight dynamics. ",G (Fall),,M. Drela,Prereq: 16.100 or permission of instructor 
16.120,Compressible Internal Flow,3-0-9 units,,"Internal compressible flow with applications in propulsion and fluid systems. Control volume analysis of compressible flow devices. Compressible channel flow and extensions, including effects of shock waves, momentum, energy and mass addition, swirl, and flow non-uniformity on Mach numbers, flow regimes, and choking. ","['Acad Year 2022-2023: G (Spring)', 'Acad Year 2023-2024: Not offered']",,E. M. Greitzer,Prereq: 2.25 or permission of instructor 
16.122,Analytical Hypersonic Aerodynamics,3-0-3 units,,"Analysis of external inviscid and viscous hypersonic flows over thin airfoils, lifting bodies of revolution, wedges, cones, and blunt nose bodies. Analyses formulated using singular perturbation and multiple scale methods. Hypersonic equivalence principle. Hypersonic similarity. Newtonian approximation. Curved, detached shock waves. Crocco theorem. Entropy layers. Shock layers. Blast waves. Hypersonic boundary layers. ","['Acad Year 2022-2023: G (Spring)', 'Acad Year 2023-2024: Not offered']",,W. L. Harris,"Prereq: 2.25, 18.085, or permission of instructor "
16.13,Aerodynamics of Viscous Fluids,3-0-9 units,,"Boundary layers as rational approximations to the solutions of exact equations of fluid motion. Physical parameters influencing laminar and turbulent aerodynamic flows and transition. Effects of compressibility, heat conduction, and frame rotation. Influence of boundary layers on outer potential flow and associated stall and drag mechanisms. Numerical solution techniques and exercises. ","['Acad Year 2022-2023: Not offered', 'Acad Year 2023-2024: G (Spring)']",,M. Drela,"Prereq: 16.100, 16.110, or permission of instructor "
16.20,Structural Mechanics,5-0-7 units,,"Applies solid mechanics to analysis of high-technology structures. Structural design considerations. Review of three-dimensional elasticity theory; stress, strain, anisotropic materials, and heating effects. Two-dimensional plane stress and plane strain problems. Torsion theory for arbitrary sections. Bending of unsymmetrical section and mixed material beams. Bending, shear, and torsion of thin-wall shell beams. Buckling of columns and stability phenomena. Introduction to structural dynamics. Exercises in the design of general and aerospace structures. ",U (Spring),,B. Wardle,Prereq: 16.001 
16.201,Topics in Materials and Structures,Units arranged,,Provides credit for undergraduate-level work in materials and structures outside of regularly scheduled subjects. Intended for transfer credit and study abroad. Credit may be used to satisfy specific degree requirements in the Course 16 program. Requires prior approval. Consult M. A. Stuppard. ,"['U (Fall, IAP, Spring)', 'Not offered regularly; consult department']",Can be repeated for credit.,J. P. How,Prereq: Permission of department 
16.202,Manufacturing with Advanced Composite Materials,1-3-2 units,,"Introduces the methods used to manufacture parts made of advanced composite materials with work in the Technology Laboratory for Advanced Composites. Students gain hands-on experience by fabricating, machining, instrumenting, and testing graphite/epoxy specimens. Students also design, build, and test a composite structure as part of a design contest. Lectures supplement laboratory sessions with background information on the nature of composites, curing, composite machining, secondary bonding, and the testing of composites. ","['U (Fall)', 'Not offered regularly; consult department']",,P. A. Lagace,Prereq: None 
16.221[J],Structural Dynamics,3-1-8 units,"['Same subject as 1.581[J], 2.060[J]', 'Subject meets with 1.058']","Examines response of structures to dynamic excitation: free vibration, harmonic loads, pulses and earthquakes. Covers systems of single- and multiple-degree-of-freedom, up to the continuum limit, by exact and approximate methods. Includes applications to buildings, ships, aircraft and offshore structures. Students taking graduate version complete additional assignments. ",G (Fall),,T. Cohen,Prereq: 18.03 or permission of instructor 
16.223[J],Mechanics of Heterogeneous Materials,3-0-9 units,Same subject as 2.076[J],"Mechanical behavior of heterogeneous materials such as thin-film microelectro- mechanical systems (MEMS) materials and advanced filamentary composites, with particular emphasis on laminated structural configurations. Anisotropic and crystallographic elasticity formulations. Structure, properties and mechanics of constituents such as films, substrates, active materials, fibers, and matrices including nano- and micro-scale constituents. Effective properties from constituent properties. Classical laminated plate theory for modeling structural behavior including extrinsic and intrinsic strains and stresses such as environmental effects. Introduction to buckling of plates and nonlinear (deformations) plate theory. Other issues in modeling heterogeneous materials such as fracture/failure of laminated structures. ","['Acad Year 2022-2023: Not offered', 'Acad Year 2023-2024: G (Fall)']",,"B. L. Wardle, S-G. Kim","Prereq: 2.002, 3.032, 16.20, or permission of instructor "
16.225[J],Computational Mechanics of Materials,3-0-9 units,Same subject as 2.099[J],"Formulation of numerical (finite element) methods for the analysis of the nonlinear continuum response of materials. The range of material behavior considered includes finite deformation elasticity and inelasticity. Numerical formulation and algorithms include variational formulation and variational constitutive updates; finite element discretization; constrained problems; time discretization and convergence analysis. Strong emphasis on the (parallel) computer implementation of algorithms in programming assignments. The application to real engineering applications and problems in engineering science are stressed throughout. Experience in either C++, C, or Fortran required. ","['Acad Year 2022-2023: G (Spring)', 'Acad Year 2023-2024: Not offered']",,R. Radovitzky,Prereq: Permission of instructor 
16.230[J],Plates and Shells: Static and Dynamic Analysis,3-1-8 units,Same subject as 2.081[J],See description under subject 2.081[J]. ,G (Spring),,T. Sapsis,"Prereq: 2.071, 2.080[J], or permission of instructor "
16.235,Design with High Temperature Materials,3-0-9 units,,"Introduction to materials design for high-temperature applications. Fundamental principles of thermodynamics and kinetics of the oxidation and corrosion of materials in high-temperature, chemically aggressive environments. Relationship of oxidation theory to design of metals (iron-, cobalt-, nickel-, refractory- and intermetallic alloys), ceramics, composites (metal-, ceramic- and carbon-matrix, coated materials). Relationships between deformation mechanisms (creep, viscoelasticity, thermoelasticity) and microstructure for materials used at elevated temperature. Discussions of high-temperature oxidation, corrosion, and damage problems that occur in energy and aerospace systems. ",G (Spring),,Z. C. Cordero,Prereq: Permission of instructor 
16.30,Feedback Control Systems,4-1-7 units,Subject meets with 16.31,"Studies state-space representation of dynamic systems, including model realizations, controllability, and observability. Introduces the state-space approach to multi-input-multi-output control system analysis and synthesis, including full state feedback using pole placement, linear quadratic regulator, stochastic state estimation, and the design of dynamic control laws. Also covers performance limitations and robustness. Extensive use of computer-aided control design tools. Applications to various aerospace systems, including navigation, guidance, and control of vehicles. Laboratory exercises utilize a palm-size drone. Students taking graduate version complete additional assignments. ",U (Fall),,"S. R. Hall, C. Fan",Prereq: 16.06 or permission of instructor 
16.301,"Topics in Control, Dynamics, and Automation",Units arranged,,Provides credit for work on undergraduate-level material in control and/or dynamics and/or automation outside of regularly scheduled subjects. Intended for transfer credit and study abroad. Credit may be used to satisfy specific degree requirements in the Course 16 program. Requires prior approval. Consult department. ,"['U (Fall, IAP, Spring)', 'Not offered regularly; consult department']",Can be repeated for credit.,J. P. How,Prereq: Permission of department 
16.31,Feedback Control Systems,3-1-8 units,Subject meets with 16.30,"Graduate-level version of 16.30; see description under 16.30. Includes additional homework questions, laboratory experiments, and a term project beyond 16.30 with a particular focus on the material associated with state-space realizations of MIMO transfer function (matrices); MIMO zeros, controllability, and observability; stochastic processes and estimation; limitations on performance; design and analysis of dynamic output feedback controllers; and robustness of multivariable control systems. ",G (Fall),,"S. R. Hall, C. Fan",Prereq: 16.06 or permission of instructor 
16.32,Principles of Optimal Control and Estimation,3-0-9 units,,"Fundamentals of optimal control and estimation for discrete and continuous systems. Briefly reviews constrained function minimization and stochastic processes. Topics in optimal control theory include dynamic programming, variational calculus, Pontryagin's maximum principle, and numerical algorithms and software. Topics in estimation include least-squares estimation, and the Kalman filter and its extensions for estimating the states of dynamic systems. May include an individual term project. ",G (Spring),,J. P. How,Prereq: 16.31 
16.332,Formal Methods for Safe Autonomous Systems,3-0-9 units,,"Covers formal methods for designing and analyzing autonomous systems. Focuses on both classical and state-of-the-art rigorous methods for specifying, modeling, verifying, and synthesizing various behaviors for systems where embedded computing units monitor and control physical processes. Additionally, covers advanced material on combining formal methods with control theory and machine learning theory for modern safety critical autonomous systems powered by AI techniques such as robots, self-driving cars, and drones. Strong emphasis on the use of various mathematical and software tools to provide safety, soundness, and completeness guarantees for system models with different levels of fidelity. ",G (Spring),,C. Fan,Prereq: Permission of instructor 
16.338[J],Dynamic Systems and Control,4-0-8 units,Same subject as 6.7100[J],See description under subject 6.7100[J]. ,G (Spring),,"M. A. Dahleh, A. Megretski",Prereq: 6.3000 and 18.06 
16.343,Spacecraft and Aircraft Sensors and Instrumentation,3-0-9 units,,"Covers fundamental sensor and instrumentation principles in the context of systems designed for space or atmospheric flight. Systems discussed include basic measurement system for force, temperature, pressure; navigation systems (Global Positioning System, Inertial Reference Systems, radio navigation), air data systems, communication systems; spacecraft attitude determination by stellar, solar, and horizon sensing; remote sensing by incoherent and Doppler radar, radiometry, spectrometry, and interferometry. Also included is a review of basic electromagnetic theory and antenna design and discussion of design considerations for flight. Alternate years. ","['Acad Year 2022-2023: G (Spring)', 'Acad Year 2023-2024: Not offered']",,K. Cahoy,Prereq: Permission of instructor 
16.346,Astrodynamics,3-0-9 units,,"Fundamentals of astrodynamics; the two-body orbital initial-value and boundary-value problems with applications to space vehicle navigation and guidance for lunar and planetary missions with applications to space vehicle navigation and guidance for lunar and planetary missions including both powered flight and midcourse maneuvers. Topics include celestial mechanics, Kepler's problem, Lambert's problem, orbit determination, multi-body methods, mission planning, and recursive algorithms for space navigation. Selected applications from the Apollo, Space Shuttle, and Mars exploration programs. ","['Acad Year 2022-2023: G (Spring)', 'Acad Year 2023-2024: Not offered']",,"S. E. Widnall, R. Linares",Prereq: 18.03 
16.35,Real-Time Systems and Software,3-0-9 units,,"Concepts, principles, and methods for specifying and designing real-time computer systems. Topics include concurrency, real-time execution implementation, scheduling, testing, verification, real-time analysis, and software engineering concepts. Additional topics include operating system architecture, process management, and networking. ",U (Spring),,J. Shah,Prereq: 1.00 or 6.100B 
16.355[J],Concepts in the Engineering of Software,3-0-9 units,Same subject as IDS.341[J],"Reading and discussion on issues in the engineering of software systems and software development project design. Includes the present state of software engineering, what has been tried in the past, what worked, what did not, and why. Topics may differ in each offering, but are chosen from the software process and life cycle; requirements and specifications; design principles; testing, formal analysis, and reviews; quality management and assessment; product and process metrics; COTS and reuse; evolution and maintenance; team organization and people management; and software engineering aspects of programming languages.  Enrollment may be limited.",G (Spring),,N. G. Leveson,Prereq: Permission of instructor 
16.36,Communication Systems and Networks,3-0-9 units,Subject meets with 16.363,"Introduces the fundamentals of digital communications and networking. Topics include elements of information theory, sampling and quantization, coding, modulation, signal detection and system performance in the presence of noise. Study of data networking includes multiple access, reliable packet transmission, routing and protocols of the internet. Concepts discussed in the context of aerospace communication systems: aircraft communications, satellite communications, and deep space communications. Students taking graduate version complete additional assignments. ",U (Spring),,E. H. Modiano,Prereq: (6.3000 or 16.002) and (6.3700 or 16.09) 
16.363,Communication Systems and Networks,3-0-9 units,Subject meets with 16.36,"Introduces the fundamentals of digital communications and networking, focusing on the study of networks, including protocols, performance analysis, and queuing theory. Topics include elements of information theory, sampling and quantization, coding, modulation, signal detection and system performance in the presence of noise. Study of data networking includes multiple access, reliable packet transmission, routing and protocols of the internet. Concepts discussed in the context of aerospace communication systems: aircraft communications, satellite communications, and deep space communications. Students taking graduate version complete additional assignments. ",G (Spring),,E. H. Modiano,Prereq: (6.3000 or 16.004) and (6.3700 or 16.09) 
16.37[J],Data-Communication Networks,3-0-9 units,Same subject as 6.7450[J],See description under subject 6.7450[J]. ,G (Fall),,E. Modiano,Prereq: 6.3700 or 18.204 
16.391,Statistics for Engineers and Scientists (New),3-0-9 units,,"Rigorous introduction to fundamentals of statistics motivated by engineering applications. Topics include exponential families, order statistics, sufficient statistics, estimation theory, hypothesis testing, measures of performance, notions of optimality, analysis of variance (ANOVA), simple linear regression, and selected topics. ",G (Fall),,M. Win,"Prereq: Calculus II (GIR), 18.06,  6.431, or permission of instructor "
16.393,Statistical Communication and Localization Theory,3-0-9 units,,"Rigorous introduction to statistical communication and localization theory, covering essential topics such as modulation and demodulation of signals, derivation of optimal receivers, characterization of wireless channels, and devising of ranging and localization techniques. Applies decision theory, estimation theory, and modulation theory to the design and analysis of modern communication and localization systems exploring synchronization, diversity, and cooperation. Selected topics will be discussed according to time schedule and class interest. ",G (Spring),,M. Z. Win,Prereq: None 
16.395,Principles of Wide Bandwidth Communication,3-0-9 units,,"Introduction to the principles of wide bandwidth wireless communication, with a focus on ultra-wide bandwidth (UWB) systems. Topics include the basics of spread-spectrum systems, impulse radio, Rake reception, transmitted reference signaling, spectral analysis, coexistence issues, signal acquisition, channel measurement and modeling, regulatory issues, and ranging, localization and GPS. Consists of lectures and technical presentations by students. ","['G (Fall)', 'Not offered regularly; consult department']",,M. Z. Win,"Prereq: 6.3010, 16.36, or permission of instructor "
16.400,Human Systems Engineering,3-0-9 units,"Subject meets with 16.453[J], HST.518[J]","Provides a fundamental understanding of human factors that must be taken into account in the design and engineering of complex aviation, space, and medical systems. Focuses primarily on derivation of human engineering design criteria from sensory, motor, and cognitive sources. Includes principles of displays, controls and ergonomics, manual control, the nature of human error, basic experimental design, and human-computer interaction in supervisory control settings. Students taking graduate version complete a research project with a final written report and oral presentation. ",U (Fall),,Staff,"Prereq: 6.3700, 16.09, or permission of instructor "
16.401,Topics in Communication and Software,Units arranged,,Provides credit for undergraduate-level work in communications and/or software outside of regularly scheduled subjects. Intended for transfer credit and study abroad. Credit may be used to satisfy specific degree requirements in the Course 16 program. Requires prior approval. Consult M. A. Stuppard. ,"['U (Fall, IAP, Spring)', 'Not offered regularly; consult department']",Can be repeated for credit.,J. P. How,Prereq: Permission of department 
16.405[J],Robotics: Science and Systems,2-6-4 units. Institute LAB,Same subject as 6.4200[J],See description under subject 6.4200[J]. Enrollment limited.,U (Spring),,"L.  Carlone, S. Karaman","Prereq: ((1.00 or 6.100A) and (2.003[J], 6.1010, 6.1210, or 16.06)) or permission of instructor "
16.410[J],Principles of Autonomy and Decision Making,4-0-8 units,"['Same subject as 6.4130[J]', 'Subject meets with 6.4132[J], 16.413[J]']","Surveys decision making methods used to create highly autonomous systems and decision aids. Applies models, principles and algorithms taken from artificial intelligence and operations research. Focuses on planning as state-space search, including uninformed, informed and stochastic search, activity and motion planning, probabilistic and adversarial planning, Markov models and decision processes, and Bayesian filtering. Also emphasizes planning with real-world constraints using constraint programming. Includes methods for satisfiability and optimization of logical, temporal and finite domain constraints, graphical models, and linear and integer programs, as well as methods for search, inference, and conflict-learning. Students taking graduate version complete additional assignments. ",U (Fall),,H. E. Shrobe,Prereq: 6.100B or 6.9080 
16.412[J],Cognitive Robotics,3-0-9 units,Same subject as 6.8110[J],"Highlights algorithms and paradigms for creating human-robot systems that act intelligently and robustly, by reasoning from models of themselves, their counterparts and their world. Examples include space and undersea explorers, cooperative vehicles, manufacturing robot teams and everyday embedded devices. Themes include architectures for goal-directed systems; decision-theoretic programming and robust execution; state-space programming, activity and path planning; risk-bounded programming and risk-bounded planners; self-monitoring and self-diagnosing systems, and human-robot collaboration. Student teams explore recent advances in cognitive robots through delivery of advanced lectures and final projects, in support of a class-wide grand challenge. Enrollment may be limited.",G (Spring),,B. C. Williams,"Prereq: (6.4100 or 16.413[J]) and (6.1200[J], 6.3700, or 16.09) "
16.413[J],Principles of Autonomy and Decision Making,3-0-9 units,"['Same subject as 6.4132[J]', 'Subject meets with 6.4130[J], 16.410[J]']","Surveys decision making methods used to create highly autonomous systems and decision aids. Applies models, principles and algorithms taken from artificial intelligence and operations research. Focuses on planning as state-space search, including uninformed, informed and stochastic search, activity and motion planning, probabilistic and adversarial planning, Markov models and decision processes, and Bayesian filtering. Also emphasizes planning with real-world constraints using constraint programming. Includes methods for satisfiability and optimization of logical, temporal and finite domain constraints, graphical models, and linear and integer programs, as well as methods for search, inference, and conflict-learning. Students taking graduate version complete additional assignments. ",G (Fall),,B. C. Williams,"Prereq: 6.100B, 6.9080, or permission of instructor "
16.420,Planning Under Uncertainty,3-0-9 units,Subject meets with 6.4110,"Concepts, principles, and methods for planning with imperfect knowledge. Topics include state estimation, planning in information space, partially observable Markov decision processes, reinforcement learning and planning with uncertain models. Students will develop an understanding of how different planning algorithms and solutions techniques are useful in different problem domains. Previous coursework in artificial intelligence and state estimation strongly recommended. ",G (Fall),,"N. Roy, Staff",Prereq: 16.413[J] 
16.422,Human Supervisory Control of Automated Systems,3-1-8 units,,"Principles of supervisory control and telerobotics. Different levels of automation are discussed, as well as the allocation of roles and authority between humans and machines. Human-vehicle interface design in highly automated systems. Decision aiding. Trade-offs between human control and human monitoring. Automated alerting systems and human intervention in automatic operation. Enhanced human interface technologies such as virtual presence. Performance, optimization, and social implications of the human-automation system. Examples from aerospace, ground, and undersea vehicles, robotics, and industrial systems. ","['Acad Year 2022-2023: Not offered', 'Acad Year 2023-2024: G (Fall)']",,J. A. Shah,Prereq: Permission of instructor 
16.423[J],Aerospace Biomedical and Life Support Engineering,3-0-9 units,"Same subject as HST.515[J], IDS.337[J]","Fundamentals of human performance, physiology, and life support impacting engineering design and aerospace systems. Topics include effects of gravity on the muscle, skeletal, cardiovascular, and neurovestibular systems; human/pilot modeling and human/machine design; flight experiment design; and life support engineering for extravehicular activity (EVA). Case studies of current research are presented. Assignments include a design project, quantitative homework sets, and quizzes emphasizing engineering and systems aspects. ","['Acad Year 2022-2023: Not offered', 'Acad Year 2023-2024: G (Fall)']",,D. J. Newman,"Prereq: 16.06, 16.400, or permission of instructor "
16.445[J],Entrepreneurship in Aerospace and Mobility Systems,3-0-9 units,Same subject as STS.468[J],"Examines concepts and procedures for new venture creation in aerospace and mobility systems, and other arenas where safety, regulation, and infrastructure are significant components. Includes space systems, aviation, autonomous vehicles, urban aerial mobility, transit, and similar arenas. Includes preparation for entrepreneurship, founders' dilemmas, venture finance, financial modeling and unit economics, fundraising and pitching, recruiting, problem definition, organizational creation, value proposition, go-to-market, and product development. Includes team-based final projects on problem definition, technical innovation, and pitch preparation. ","['Acad Year 2022-2023: G (Fall)', 'Acad Year 2023-2024: Not offered']",,D. A. Mindell,Prereq: Permission of instructor 
16.453[J],Human Systems Engineering,3-0-9 units,"['Same subject as HST.518[J]', 'Subject meets with 16.400']","Provides a fundamental understanding of human factors that must be taken into account in the design and engineering of complex aviation, space, and medical systems. Focuses primarily on derivation of human engineering design criteria from sensory, motor, and cognitive sources. Includes principles of displays, controls and ergonomics, manual control, the nature of human error, basic experimental design, and human-computer interaction in supervisory control settings. Students taking graduate version complete a research project with a final written report and oral presentation. ",G (Fall),,L. A. Stirling,"Prereq: 6.3700, 16.09, or permission of instructor "
16.456[J],Biomedical Signal and Image Processing,3-1-8 units,"['Same subject as 6.8800[J], HST.582[J]', 'Subject meets with 6.8801[J], HST.482[J]']",See description under subject 6.8800[J]. ,G (Spring),,"J. Greenberg, E. Adalsteinsson, W. Wells","Prereq: (6.3700 and (2.004, 6.3000, 16.002, or 18.085)) or permission of instructor "
16.459,Bioengineering Journal Article Seminar,1-0-1 units,,"Each term, the class selects a new set of professional journal articles on bioengineering topics of current research interest. Some papers are chosen because of particular content, others are selected because they illustrate important points of methodology. Each week, one student leads the discussion, evaluating the strengths, weaknesses, and importance of each paper. Subject may be repeated for credit a maximum of four terms. Letter grade given in the last term applies to all accumulated units of 16.459. ","G (Fall, Spring)",Can be repeated for credit.,Staff,Prereq: None 
16.470,Statistical Methods in Experimental Design,3-0-9 units,,"Statistically based experimental design inclusive of forming hypotheses, planning and conducting experiments, analyzing data, and interpreting and communicating results. Topics include descriptive statistics, statistical inference, hypothesis testing, parametric and nonparametric statistical analyses, factorial ANOVA, randomized block designs, MANOVA, linear regression, repeated measures models, and application of statistical software packages. ",G (Spring),,Staff,"Prereq: 6.3700, 16.09, or permission of instructor "
16.475,Human-Computer Interface Design Colloquium,2-0-2 units,,"Provides guidance on design and evaluation of human-computer interfaces for students with active research projects. Roundtable discussion on developing user requirements, human-centered design principles, and testing and evaluating methodologies. Students present their work and evaluate each other's projects. Readings complement specific focus areas. Team participation encouraged. Open to advanced undergraduates. ","['G (Fall)', 'Not offered regularly; consult department']",,Staff,Prereq: None 
16.485,Visual Navigation for Autonomous Vehicles,3-2-7 units,,"Covers the mathematical foundations and state-of-the-art implementations of algorithms for vision-based navigation of autonomous vehicles (e.g., mobile robots, self-driving cars, drones). Topics include geometric control, 3D vision, visual-inertial navigation, place recognition, and simultaneous localization and mapping. Provides students with a rigorous but pragmatic overview of differential geometry and optimization on manifolds and knowledge of the fundamentals of 2-view and multi-view geometric vision for real-time motion estimation, calibration, localization, and mapping. The theoretical foundations are complemented with hands-on labs based on state-of-the-art mini race car and drone platforms. Culminates in a critical review of recent advances in the field and a team project aimed at advancing the state-of-the-art. ","['Acad Year 2022-2023: Not offered', 'Acad Year 2023-2024: G (Fall)']",,"L. Carlone, J. How, K. Khosoussi",Prereq: 16.32 or permission of instructor 
16.50,Aerospace Propulsion,3-0-9 units,,"Presents aerospace propulsive devices as systems, with functional requirements and engineering and environmental limitations. Requirements and limitations that constrain design choices. Both air-breathing and rocket engines covered, at a level which enables rational integration of the propulsive system into an overall vehicle design. Mission analysis, fundamental performance relations, and exemplary design solutions presented. ",U (Spring),,"S. Barrett, J. Sabnis",Prereq: 16.003 and (2.005 or 16.004) 
16.511,Aircraft Engines and Gas Turbines,3-0-9 units,,"Performance and characteristics of aircraft jet engines and industrial gas turbines, as determined by thermodynamic and fluid mechanic behavior of engine components: inlets, compressors, combustors, turbines, and nozzles. Discusses various engine types, including advanced turbofan configurations, limitations imposed by material properties and stresses. Emphasizes future design trends including reduction of noise, pollutant formation, fuel consumption, and weight. ",G (Fall),,E. M. Greitzer,Prereq: 16.50 or permission of instructor 
16.512,Rocket Propulsion,3-0-9 units,,"Chemical rocket propulsion systems for launch, orbital, and interplanetary flight. Modeling of solid, liquid-bipropellant, and hybrid rocket engines. Thermochemistry, prediction of specific impulse. Nozzle flows including real gas and kinetic effects. Structural constraints. Propellant feed systems, turbopumps. Combustion processes in solid, liquid, and hybrid rockets. Cooling; heat sink, ablative, and regenerative. ","['Acad Year 2022-2023: Not offered', 'Acad Year 2023-2024: G (Fall)']",,C. Guerra-Garcia,Prereq: 16.50 or permission of instructor 
16.522,Space Propulsion,3-3-6 units,,"Reviews rocket propulsion fundamentals. Discusses advanced concepts in space propulsion with emphasis on high-specific impulse electric engines. Topics include advanced mission analysis; the physics and engineering of electrothermal, electrostatic, and electromagnetic schemes for accelerating propellant; and orbital mechanics for the analysis of continuous thrust trajectories. Requires a term project in which students design, build, and test an electric propulsion thruster in the laboratory. ",G (Spring),,"P. C. Lozano, C. Guerra Garcia",Prereq: 8.02 or permission of instructor 
