name,school_affiliation,keywords
Leslie Keith Norford,architecture,"Power Line Communication for Low-Bandwidth Control and Sensing; Machine learning in housing design : exploration of generative adversarial network in site plan / floorplan generation; Large global variations in measured airborne metal concentrations driven by anthropogenic sources; Clustering weather types for urban outdoor thermal comfort evaluation in a tropical area; Climate-Conscious Urban Growth Mitigates Urban Warming: Evidence from Shenzhen, China; Validation of UWG and ENVI-met models in an Abu Dhabi District, based on site measurements; The Vertical City Weather Generator (VCWG v1.0.0); Pedestrian-level wind speed enhancement with void decks in three-dimensional urban street canyons; Outdoor thermal comfort autonomy: Performance metrics for climate-conscious urban design; Design-integrated Urban Heat Island analysis tool and workflow : development and application; Materially efficient structural floor systems for housing in India; Effectiveness of cool walls on cooling load and urban temperature in a tropical climate; Buoyant flows in street canyons: Comparison of RANS and LES at reduced and full scales; Pedestrian-level wind speed enhancement in urban street canyons with void decks; Spatiotemporal patterns of street-level solar radiation estimated using Google Street View in a high-density urban environment; Impacts of Realistic Urban Heating. Part II: Air Quality and City Breathability; Validation of Simplified Urban-Canopy Aerodynamic Parametrizations Using a Numerical Simulation of an Actual Downtown Area; Folding fan fac̦ade : designing an actuated adaptive fac̦ade system for fine-grain daylight control; 3D geographic model vs street view panorama a cognitive study on navigation in different Google maps representations; Pedestrian-Level Urban Wind Flow Enhancement with Wind Catchers"
John A. Ochsendorf,architecture,"Conceptual Structural Design of Core Components for a Horizontal, Compact HTGR; Optimization of Cable-stayed Bridges at the Conceptual Design Stage; a taste of home; Reactivity of crystalline slag phases in cementitious
systems; Structural design synthesis using machine learning; The constrained geometry of structures : optimization methods for inverse form-finding design; Geometries of light; Early building design using multi-objective data approaches; Feasibility study of Leonardo da Vinci's bridge proposal over the Golden Horn in Istanbul; Mass reduction : opportunities and structural optimization methods to reduce material use in mass timber buildings; Design and performance of Thomas Telford's Bonar Bridge and Mythe Bridge; Peripheral timber applications for waste wood material in extreme climates and earthquake risk regions; Beneficial use of boiler ash in alkali-activated bricks; Structural performance of spoke wheel roof systems; Multiscale structural investigation of bamboo under compressive Loading; Nervi's design and construction methods for two thin-shell structures : the Leverone Field House and Thompson Arena; Computing with matter, shapes, and forces : toward material and structural primacy in architecture; Low carbon pathways for structural design : embodied life cycle impacts of building structures; Optimization of composite floors : theory and practice; Design of prestressed, fabric-formed concrete beams"
Nasser Rabbat,architecture,"Motivated fictionality: Worldbuilding and The Thousand and One Nights; An Experiment in Piety: The Three Domed Suhrawardy Tombs at Uchch Sharif; Motivated Fictionality: Worldbuilding and The Thousand and One Nights; Visualizing Oil in Aramco World Magazine: Public Relations and Corporate Photography from 1949-1960; Adam von Bartsch (1757-1821) and the Invention of the Original Printmaker; Surveilling Sin: Locating Sodomy in the Early Modern Florentine Bathhouse; NIGHTRISE Through the Valley of Jabal ‘Amil’s Shadow; Fractured and Dissolved, Architecture Ablaze: Towards an Understanding of Ayeneh-Kari in the Palaces of Iran; Scripting Inclusion; The Global Phenomenon of Islam Through the Lens of Late Antiquity; To know is to empower : Chagos institute of environmental humanities; Continuity and Rupture in Islamic Architecture; Rifat al-Chadirji (1926‐2020): Designing a transhistorical Iraq; Nasser Rabbat: letter to a young architect; Kamal Boullata: For the Love of Jerusalem; Migrant sarifa settlements and state-Building in Iraq; The Raffles Museum in the shift from nature to culture; Diriyah narrated by Its built environment : the story of the first Saudi State (1744-1818); Reviving cosmopolitan Beirut : a case study of three modernist art spaces; Building Mughal Burhanpur"
Christoph Reinhart,architecture,
Adèle Naudé Santos,architecture,
Hashim Sarkis,architecture,
Andrew M. Scott,architecture,
Anne Whiston Spirn,architecture,
George N. Stiny,architecture,"A taxonomy of participatory design projects in architecture; Computing with matter, shapes, and forces : toward material and structural primacy in architecture; Painting with data : from a computational history of urban models to an alternative urban computing; The Critic as Artist: Oscar Wilde’s Prolegomena to Shape Grammars; Making grammars: From computing with shapes to computing with things; Principles for the definition of design structures; EthnoComputation : on Weaving Grammars for architectural design; Randomness as a generative principle in art and architecture"
Azra Aksamija,architecture,"Expanded Cinema and War; Trauma in Hyper-Documented Age; Building / Unbuilding; Seven ways of reading : the House of the Seven Gables; The factory of coexistence; After aura : authorship, automation, authenticity; Gardens of resistance; Being in the world as if there's nothing from the first : a praxis-framework for emergence; Planning the ""Multiracial City"" : architecture, decolonization and the design of stability in British Africa (1945-1957); Urban perceptual modeling : a speculative framework for artistic intervention/; Tessituras Abertas : pessimistic, yet persistent in other possible imaginaries; A dedicated mechanism for forgetting : fiction and the ghosts of the plantationocene; Reviving cosmopolitan Beirut : a case study of three modernist art spaces; Farmer, miner, builder, trader : re-humanizing the distributed infrastructures of Bitcoin; On display : the strategy of ""flattening"" in the Selfie Museum and its relevance for architecture; Viral visions : art, activism, and epidemiology in the global AIDS pandemic; American sanctuary : architecture & (in)justice; The passage; Instruments of service; Fourth Belgrade : story about reclaiming land; Augmentation as art intervention : the new means of art intervention through mixed reality"
Brandon Clifford,architecture,"Self-Shaping Mechanisms Prototyping of PneuKnit Systems; The Third Teacher: Architecture as enabler of Active Learning; Medium Resolution; Reclaiming the estranged : imaging an architecture of express; Thorough;; COLORZOOM; Pedagogy of the fourth wall : toward a time-based architecture; sourdough architecture; A new way of play : the forms and functions of participatory design and critical pedagogies; Other stories; Volume 11 - July 2020 (COMPUTATIONAL ARRANGEMENT OF DEMOLITION DEBRIS); Unmaking architecture : holding patterns for misfit matter; Pedagogy & Space; Free4orm framing : high-performance bending-active strip construction; HALO : re-forming architectural space with light caustics; C L I M A + : an early design natural ventilation prediction method; Architecture in the Afternet; Living with the dead; Toxic urbanism : hearth, heimatlosigkeit, home; A generator of sensory architectures"
Yolande Daniels,architecture,"Inheritance Geographies: Black Presence and the Making of London; Under (De)Construction: Speculations on Building and Unbuilding; Space for one; There will be floods : a material remembrance of Presidents Island, Memphis; Spaces of justice; Tohoku Topo-Urbanism : oblique community form in post-Tsunami Japan"
Rania Ghosn,architecture,"The Afterlife of Wells, from oil to soil in the Amazonia; The Third Teacher: Architecture as enabler of Active Learning; Under (De)Construction: Speculations on Building and Unbuilding; Fourth Dimension; Fukushima Exclusion Zone Survival Handbook; Coping With Neighbors & other entanglements; Mediating Chana: Seeding Synergies between Doves and Development; heirlooms in search of the fifth ecology; Third Landscape; Scripting Inclusion; Prised out of paradise : reconsidering cooperatives, in response to climate gentrification in Miami's communities of color; Planning the ""Multiracial City"" : architecture, decolonization and the design of stability in British Africa (1945-1957); One degree removed : the last carnival of Venice; MISSION 2066 : a national park for the Antrhopocene; Tremulous lines : the alternative history of a site of exception; Reviving cosmopolitan Beirut : a case study of three modernist art spaces; Contested valleys : reclaiming the common landscape in Bisri, Lebanon; Manual of Hospitality : learning from migration; Volume 11 - July 2020 (COMPUTATIONAL ARRANGEMENT OF DEMOLITION DEBRIS); Unmaking architecture : holding patterns for misfit matter"
Mark Goulthorpe,architecture,"COLORZOOM; Thinking manual : a digital framework for designing and making; Fabrication Information Modeling (FIM); The food assembly : architecture of sustenance for the new industrial city; Forward-backward : the odyssey as a design interface; Shape analysis for digital representation of East Asian silk patterns; Hold up : machine delay in architectural design; Elemental shelters for nomads; Post-mordial : esoteric embodiment; Architecture in the Afternet; A curriculum on the fabrication of clouds; Boullée's Forgotten Fountain : the redesign of the Bibliotheque du Roi, 1785; Linking design to finance : enabling a co-operative developer platform through automated design and valuation; Dispatches from the transient city; The performative experiment : a polylogue to practice the malleability of an aesthetic and spatial sense of self; Artwitter : the reinterpretation of social networks; Design for a mind with many bodies : cybernetic micro-interventions in the cryosphere; 3dj: 3d Sampling Haptic and Optically Performative Textures Remixed from 3d Scans; Architecture sandwiched : tuning anisotropy through variable thickness and hetereogeneous laminar assemblies; Disturbance grounds : an inquiry into non-equilibrium architectural states"
Miho Mazereeuw,architecture,
Caitlin T. Mueller,architecture,
Takehiko Nagakura,architecture,
William O'Brien Jr,architecture,
Lawrence Sass,architecture,
Rafael (Rafi) Segal,architecture,"China's Community Riders: Digital Labor, Delivery Logistics and Spaces; A city of placelessness : digital nomads and Tallinn's urban future; Urbanism across: new urban ground in Taipei's old city core; Urban complex : between institutions and space; Rethinking streets : urban life with autonomous vehicles; An infrastructural ecology for Lima; Collective Home Office; Between birds and humans : the design of the encounter; The slow zone : designing alternative paths for the future of North Bali; Fables of undiscovered cities; Submergence as emergence : expanding social waterscapes in a shrinking city; Re-energized : a new model for suburban housing through infrastructural remediation; Staging frontier dynamics : interplay at the periphery of Manaus; The reconsidered river : strategies for connections in post-industrial Buffalo; Framing dispersal : urban strategies for Mexico City's sprawl; unCommon ground; Kipple kaboodle : reincarnating California city"
Kristel Smentek,architecture,
Skylar Tibbits,architecture,Coral Reef Flood Protection and Coral Growth Typology; Discrete-to-Complete: The Fundamentals of Design Directed Robotics; Beyond the Brick: Collaborations with a Sensing Microbial System in the Built Environment; Self-Shaping Mechanisms Prototyping of PneuKnit Systems; mARble: a Research-Based Design Process in Educa9onal Technology; Symbols and Spatiality of Social Media: Re-constructing the Digital Public Realm; Affective Matter: A Haptic Material Modality for Emotion Regulation and Communication; 4D Soft Material Systems; Remodeling Rationality: An Inquiry into Unorthodox Modes of Logic and Computation; Machine Learning Simulation of Pedestrians Exploring the Built Environment; Shells and Stages for Actuated TUIs: Reconfiguring and Orchestrating Dynamic Physical Interaction; Discrete Continuum Robotic Structures; A Machine Learning Model for Understanding How Users Value Designs: Applications for Designers and Consumers; Untold Narratives: Realizing Personal Design Identities; Implementing Continuous Fiber Reinforcement for Concrete Additive Manufacturing; Digital Narratives for Self-Therapy; Mechanical Shells: Physical Add-ons for Extending and Reconfiguring the Interactivities of Actuated TUIs; Venous Materials: Towards Interactive Fluidic Mechanisms; Machine learning inspired synthetic biology: neuromorphic computing in mammalian cells; Digital nomads : space + narrative computing for the village of Al Araqib
Gediminas Urbonas,architecture,"Plantable Maps; Fukushima Exclusion Zone Survival Handbook; How to Never Walk in a Straight Line Again A Methodology to Stop Making Sense; Synchronizing Glitches as Internetworked Entities; M.I.celium mexicanus: Rejecting Modernity through Zapotec Futurism; Gardens of resistance; Being in the world as if there's nothing from the first : a praxis-framework for emergence; In between empathy and wonder lies the contamination that makes us human; Urban perceptual modeling : a speculative framework for artistic intervention/; A dedicated mechanism for forgetting : fiction and the ghosts of the plantationocene; Cultural mandates, artistic missions, and ""The Welfare of Palestine,"" 1876-1948; Wokiksuye : the politics of memory in Indigenous art, monuments, and public space; Sensation vs. perception : a study and analysis of two methods affecting cognition; Art salvos : aesthetics of figurative acts of war between the US and Cuba along Havana's Malecón; Transforming the waterfront; Negotiating with the II && ! : reading codes and their symbolic structures of control; Toward misreading : assembling (k)new meaning; Sonic Spaces : technological access to dominance and resistance; Training Transhumanism : I want to become a cephalopod; A taxonomy of participatory design projects in architecture"
Xavi Aguirre,architecture,
Rosalyne Shieh,architecture,"Expanding Architectures of Sharing: Public-Housing Authority-Supported Middle-Income Limited-Equity Cooperatives; Rebuilding the Edge: The Case of the Sulmona–Carpinone Railway and the Town of Pettorano sul Gizio; To Build Home and to Live in (U)Hygge; Velvet Garage Narratives of an Education in Architecture; Untold Narratives: Realizing Personal Design Identities; Seven ways of reading : the House of the Seven Gables; Architecture for revision; untitled, ambiguity and architecture; Urbanism across: new urban ground in Taipei's old city core; Pedagogy of the fourth wall : toward a time-based architecture; Sichuan fog -- architecture and moisture; Responses to the everyday reliefs from the private; Objects of home : a place for architecture in the making of street-homes; Making kin : landscape, material and senses; falsework : staging construction; Of pigeons, and mud, and streets, and clouds; Spaces of arrival : swamp as a terrain of contestation in Cartagena, Colombia; Ornament because of crime : learning from Mafia Baroque; Americanaaaaaaa! : or a welcome home in Lowell, Massachusetts"
Nida Sinnokrot,architecture,
Angelo Bucci,architecture,
Marc Simmons,architecture,
Christopher B. Dewart,architecture,
Jennifer O'Brien,architecture,
Jared S. Laucks,architecture,
David Patrick Moses III,architecture,
Michael Dennis,architecture,"Robust and Scalable Multiagent Reinforcement Learning in
Adversarial Scenarios; Understanding and Reshaping Social Networks with Advanced Computational Techniques; Essays on behavioral economics and macroeconomics; Algorithms for robust autonomous navigation in human environments; The openness within walls : reshaping the gated campus; Post-mordial : esoteric embodiment; Fables of undiscovered cities; Comparative urban performance simulation; Linking design to finance : enabling a co-operative developer platform through automated design and valuation; Mitigating road work disruptions on bus service : a framework for passenger impact evaluation; The architecture of water infrastructures : strategies for urban growth in the Haitian-Dominican border; Re-energized : a new model for suburban housing through infrastructural remediation; South Boston ex-urban : a new living paradigm for harbor revitalization; Urban data mining : social media data analysis as a complementary tool for urban design; Spaces for engagement in the city of Mumbai : rethinking parks and public spaces in congested cities; Framing dispersal : urban strategies for Mexico City's sprawl; Ma(i)cro visions : utilizing social network service data for a transformational process of urban social spaces; Hydrological urbanism in China's Pearl River Delta : how water landscape shapes the urban form in a changing climate; Daylit density : a simulation-based framework towards performance-aware zoning and real estate development; Embedded autonomies projecting an American middle-Class polis"
Eric J. Dluhosch,architecture,International aspects of MIT; An assessment of the potential of the United States stick-built house for self-help construction
David Hodes Friedman,architecture,"Juergen Schulz (1927-2014); Tactility and architecture : Peter Zumthor's Thermal baths in Vals and the hybridization of the two motifs of tactility-materiality and movement; Istanbul viewed : the representation of the city in Ottoman maps of the sixteenth and seventeenth centuries; Charity, architecture and urban development in post-Tridentine Rome : the hospital of the SS.ma Trinità dei Pellegrini e Convalescenti (1548-1680); Architectural practice and the planning of minor palaces in Renaissance Italy, 1510-1570; ""Falling upon deaf ears"" : the case of colloquial architecture; The role of design in city form : organic and planned towns"
N. John Habraken,architecture,"Monkey see, monkey do : establishing new real estate development frameworks for the land optioning and assembly process in Singapore; Taipei apartment; New design companions opening up the process through self-made computation; Adaptation and adaptability : expectant design for resilience in coastal urbanity; Architecture's grand tourism : the emergence of Prishtina within a global discipline; In the quest of an adaptable built form : studying transformations in the MIT Campus; Randomness as a generative principle in art and architecture; Building community : design in the organizational mind; Reinhabiting Havana; Moksha--design of disposable objects for second uses as construction components; Collaborative process and the transformation of the urban environment : wall, street, and scaffolding on Massachusetts Avenue in Boston; Plan schematization : a computational approach to morphological structure of architectural space; The systems phenomenon in buildings and its application to construction specifications; Architectural experience and motion : a design tool based on simulation and immersing technologies; Reading context in design; The simultaneous museum : a transformation of the exclusive type into a coexistent urban form; Control of parts : parts making in the building industry; Design rule making : a study of Hawhoe houses in Korea; A convention center : a typological approach to the design of an institutional building; Enabling housing : dwelling + home + domesticity; typology + specificity + site; chaos + complexity + control"
Joan Jonas,architecture,
William Lyman Porter,architecture,
Jan Wampler,architecture,
James Wescoat,architecture,
Krzysztof Wodiczko,architecture,
Michale S. Fee,brain-cognitive-sciences,
Laura E. Schulz,brain-cognitive-sciences,Sensitivity to the Sampling Process Emerges From the Principle of Efficiency; The Naïve Utility Calculus: Computational Principles Underlying Commonsense Psychology; Mind the Gap: Investigating Toddlers’ Sensitivity to Contact Relations in Predictive Events; Where science starts: Spontaneous experiments in preschoolers’ exploratory play
Edward H. Adelson,brain-cognitive-sciences,
Polina Olegovna Anikeeva,brain-cognitive-sciences,Engineering intracellular biomineralization and biosensing by a magnetic protein
Mark Bear,brain-cognitive-sciences,Contributions of metabotropic glutamate receptors to the pathophysiology of autism; The hemo-neural hypothesis : effects of vasodilation on astrocytes in mammalian neocortex; Analysis of neural circuits in vitro; Promoting neurological recovery of function via metaplasticity; Long-term activity-induced changes in the brain : a study of translational regulation and structural plasticity
Edward S. Boyden III,brain-cognitive-sciences,
Emery N. Brown,brain-cognitive-sciences,
Robert Desimone,brain-cognitive-sciences,
James DiCarlo,brain-cognitive-sciences,
Guoping Feng,brain-cognitive-sciences,
Ila Fiete,brain-cognitive-sciences,
John D. E. Gabrieli,brain-cognitive-sciences,"Reward-Sensitive Basal Ganglia Stabilize the Maintenance of Goal-Relevant Neural Patterns in Adolescents; Wandering minds, restless brains and mindful thinking : a network-based perspective"
Edward A. Gibson,brain-cognitive-sciences,Tracking Colisteners’ Knowledge States During Language Comprehension; Mastery of the logic of natural numbers is not the result of mastery of counting: evidence from late counters; Structural priming is most useful when the conclusions are statistically robust; L2 processing as noisy channel language comprehension; Native Amazonian children forego egalitarianism in merit-based tasks when they learn to count; The syntactic complexity of Russian relative clauses; Rational integration of noisy evidence and prior semantic expectations in sentence interpretation; The processing of extraposed structures in English; The Time-Course of Lexical and Structural Processes in Sentence Comprehension
Ann M. Graybiel,brain-cognitive-sciences,
Susan Hockfield,brain-cognitive-sciences,A look to the future : MIT Alumni and their Course 2 and 2-A educational experience
Neville Hogan,brain-cognitive-sciences,Electromechanical design of a body weight support system for a therapeutic robot for rodent studies; Optimal workloop energetics of muscle-actuated systems; Variable impedance energy dissipation on the micro-scale : field responsive fluids in novel geometries; Finite element simulation of electrorheological fluids; Design of semi-active variable impedance materials using field-responsive fluids; Applied optimal control for dynamically stable legged locomotion; Computer aided intertrochanteric osteotomy planning and surgery simulation; Functional assessment of amputee performance
Alan P. Jasanoff,brain-cognitive-sciences,Combined fMRI and electrical microstimulation to determine functional connections in visual areas of the primate brain; Genetically engineered sensors for non-invasive molecular imaging using MRI; Odor mapping in neuroscience and design
Nancy Kanwisher,brain-cognitive-sciences,
Roger Levy,brain-cognitive-sciences,
J. Troy Littleton,brain-cognitive-sciences,
Earl K. Miller,brain-cognitive-sciences,
Elly Nedivi,brain-cognitive-sciences,
Tomaso A. Poggio,brain-cognitive-sciences,"An Overview of Some Issues in the Theory of Deep Networks; The Levels of Understanding framework, revised; A Neuromorphic Approach to Computer Vision; Automated Home-Cage Behavioural Phenotyping of Mice; Identification, improved modeling and integration of signals to predict constitutive and altering splicing"
Drazen Prelec,brain-cognitive-sciences,A simple plug-in bagging ensemble based on threshold-moving for classifying binary and multiclass imbalanced data; Protesting too much: Self-deception and self-signaling
Alexander Rakhlin,brain-cognitive-sciences,
David Rand,brain-cognitive-sciences,
Rebecca R. Saxe,brain-cognitive-sciences,Illuminating the conceptual structure of the space of moral violations with searchlight representational similarity analysis
Morgan Hwa-Tze  Sheng,brain-cognitive-sciences,
Pawan Sinha,brain-cognitive-sciences,
Jean-Jacques E. Slotine,brain-cognitive-sciences,
Mriganka Sur,brain-cognitive-sciences,
Joshua B. Tenenbaum,brain-cognitive-sciences,
Susumu Tonegawa,brain-cognitive-sciences,
Li-Huei Tsai,brain-cognitive-sciences,Contributions of distinct interneuron types to neocortical dynamics
Fan Wang,brain-cognitive-sciences,
Matthew A. Wilson,brain-cognitive-sciences,
Feng Zhang,brain-cognitive-sciences,
Gloria Choi,brain-cognitive-sciences,
Kwanghun Chung,brain-cognitive-sciences,
Evelina Fedorenko,brain-cognitive-sciences,The early origins and the growing popularity of the individual-subject analytic approach in human neuroscience; Composition is the core driver of the language-selective network; Tracking Colisteners’ Knowledge States During Language Comprehension; Neural correlate of the construction of sentence meaning; The syntactic complexity of Russian relative clauses; The processing of extraposed structures in English; Lexical and syntactic representations in the brain: An fMRI investigation with multi-voxel pattern analyses; The Time-Course of Lexical and Structural Processes in Sentence Comprehension
Steven Flavell,brain-cognitive-sciences,Whole-organism behavioral profiling reveals a role for dopamine in state-dependent motor program coupling in C. elegans
Michael Halassa,brain-cognitive-sciences,
Mark Thomas Harnett,brain-cognitive-sciences,
Myriam Heiman,brain-cognitive-sciences,
Mehrdad Jazayeri,brain-cognitive-sciences,Interpreting neural computations by examining intrinsic and embedding dimensionality of neural activity; Engineering recurrent neural networks from task-relevant manifolds and dynamics; Bayesian Computation through Cortical Latent Dynamics; Hierarchical reasoning by neural circuits in the frontal cortex; Internal models of sensorimotor integration regulate cortical dynamics; Late Bayesian inference in mental transformations; Flexible Sensorimotor Computations through Rapid Reconfiguration of Cortical Dynamics; A Dynamical Systems Perspective on Flexible Motor Timing; Flexible timing by temporal scaling of cortical responses
Josh McDermott,brain-cognitive-sciences,Late Bayesian inference in mental transformations
Nidhi Seethapathi,brain-cognitive-sciences,
Guangyu Robert Yang,brain-cognitive-sciences,
Tari Sharot,brain-cognitive-sciences,
Thomas Byrne,brain-cognitive-sciences,
Laura Frawley,brain-cognitive-sciences,
Aida Khan,brain-cognitive-sciences,
Vikash Kumar Mansinghka,brain-cognitive-sciences,
Ruth Rosenholtz,brain-cognitive-sciences,
Xavier Boix Bosch,brain-cognitive-sciences,
Cameron Freer,brain-cognitive-sciences,"Trace types and denotational semantics for sound programmable inference in probabilistic languages; Bayesian Theory of Mind : modeling human reasoning about beliefs, desires, goals, and social relations; Natively probabilistic computation"
Sharon Gilad-Gutnick,brain-cognitive-sciences,
Melissa Kline Struhl,brain-cognitive-sciences,
Sydney M. Levine,brain-cognitive-sciences,
Kevin A. Smith,brain-cognitive-sciences,
Ralf Dieter Wimmer,brain-cognitive-sciences,
Emilio Bizzi,brain-cognitive-sciences,From thought to action; Applied optimal control for dynamically stable legged locomotion; Eye and arm movement-related activity in dorsomedial frontal cortex of monkey; Ontological constraints on 2-year-olds' induction of word meanings
Martha Constantine-Paton,brain-cognitive-sciences,"Long-term activity-induced changes in the brain : a study of translational regulation and structural plasticity; Identification, improved modeling and integration of signals to predict constitutive and altering splicing"
Alan V. Hein,brain-cognitive-sciences,
Nelson Yuan-Sheng Kiang,brain-cognitive-sciences,
Mary C. Potter,brain-cognitive-sciences,
William G. Quinn,brain-cognitive-sciences,
Peter H. Schiller,brain-cognitive-sciences,Eye and arm movement-related activity in dorsomedial frontal cortex of monkey
Gerald Edward Schneider,brain-cognitive-sciences,
Kenneth Wexler,brain-cognitive-sciences,
Richard J. Wurtman,brain-cognitive-sciences,
